Sexo;Edad;Clase principal de la inactividad;Periodo;Total
Ambos sexos;Total;Total;2026T1;17.476,8
Ambos sexos;Total;Total;2025T4;17.374,9
Ambos sexos;Total;Total;2025T3;17.161,2
Ambos sexos;Total;Total;2025T2;17.226,7
Ambos sexos;Total;Total;2025T1;17.366,8
Ambos sexos;Total;Total;2024T4;17.356,7
Ambos sexos;Total;Total;2024T3;17.052,4
Ambos sexos;Total;Total;2024T2;17.057
Ambos sexos;Total;Total;2024T1;17.098,6
Ambos sexos;Total;Total;2023T4;16.970,5
Ambos sexos;Total;Total;2023T3;16.716,1
Ambos sexos;Total;Total;2023T2;16.824,8
Ambos sexos;Total;Total;2023T1;16.940,6
Ambos sexos;Total;Total;2022T4;16.896,9
Ambos sexos;Total;Total;2022T3;16.684,8
Ambos sexos;Total;Total;2022T2;16.675,2
Ambos sexos;Total;Total;2022T1;16.705,6
Ambos sexos;Total;Total;2021T4;16.592,9
Ambos sexos;Total;Total;2021T3;16.372,1
Ambos sexos;Total;Total;2021T2;16.584,8
Ambos sexos;Total;Total;2021T1;16.914,7
Ambos sexos;Total;Total;2020T4;16.571,4
Ambos sexos;Total;Total;2020T3;16.696
Ambos sexos;Total;Total;2020T2;17.588,7
Ambos sexos;Total;Total;2020T1;16.525,9
Ambos sexos;Total;Total;2019T4;16.268,4
Ambos sexos;Total;Total;2019T3;16.233,3
Ambos sexos;Total;Total;2019T2;16.177,6
Ambos sexos;Total;Total;2019T1;16.289,4
Ambos sexos;Total;Total;2018T4;16.150,6
Ambos sexos;Total;Total;2018T3;16.058,4
Ambos sexos;Total;Total;2018T2;16.001,2
Ambos sexos;Total;Total;2018T1;16.109,5
Ambos sexos;Total;Total;2017T4;15.951,6
Ambos sexos;Total;Total;2017T3;15.881,8
Ambos sexos;Total;Total;2017T2;15.901,5
Ambos sexos;Total;Total;2017T1;15.914,7
Ambos sexos;Total;Total;2016T4;15.839
Ambos sexos;Total;Total;2016T3;15.695,3
Ambos sexos;Total;Total;2016T2;15.630
Ambos sexos;Total;Total;2016T1;15.670,8
Ambos sexos;Total;Total;2015T4;15.615,9
Ambos sexos;Total;Total;2015T3;15.587,3
Ambos sexos;Total;Total;2015T2;15.481,1
Ambos sexos;Total;Total;2015T1;15.617,8
Ambos sexos;Total;Total;2014T4;15.496,5
Ambos sexos;Total;Total;2014T3;15.591,5
Ambos sexos;Total;Total;2014T2;15.552,2
Ambos sexos;Total;Total;2014T1;15.599,7
Ambos sexos;Total;Total;2013T4;15.472,3
Ambos sexos;Total;Total;2013T3;15.423,9
Ambos sexos;Total;Total;2013T2;15.472,8
Ambos sexos;Total;Total;2013T1;15.424,8
Ambos sexos;Total;Total;2012T4;15.422,7
Ambos sexos;Total;Total;2012T3;15.307,2
Ambos sexos;Total;Total;2012T2;15.334,1
Ambos sexos;Total;Total;2012T1;15.421,2
Ambos sexos;Total;Total;2011T4;15.441,5
Ambos sexos;Total;Total;2011T3;15.369,1
Ambos sexos;Total;Total;2011T2;15.360,9
Ambos sexos;Total;Total;2011T1;15.461,4
Ambos sexos;Total;Total;2010T4;15.424,7
Ambos sexos;Total;Total;2010T3;15.364,3
Ambos sexos;Total;Total;2010T2;15.338,6
Ambos sexos;Total;Total;2010T1;15.454,4
Ambos sexos;Total;Total;2009T4;15.487,5
Ambos sexos;Total;Total;2009T3;15.450,3
Ambos sexos;Total;Total;2009T2;15.337,6
Ambos sexos;Total;Total;2009T1;15.286,7
Ambos sexos;Total;Total;2008T4;15.284,5
Ambos sexos;Total;Total;2008T3;15.290,7
Ambos sexos;Total;Total;2008T2;15.309
Ambos sexos;Total;Total;2008T1;15.414
Ambos sexos;Total;Total;2007T4;15.441,3
Ambos sexos;Total;Total;2007T3;15.356,8
Ambos sexos;Total;Total;2007T2;15.389,8
Ambos sexos;Total;Total;2007T1;15.440,2
Ambos sexos;Total;Total;2006T4;15.373,8
Ambos sexos;Total;Total;2006T3;15.351,7
Ambos sexos;Total;Total;2006T2;15.329,7
Ambos sexos;Total;Total;2006T1;15.396,2
Ambos sexos;Total;Total;2005T4;15.426,9
Ambos sexos;Total;Total;2005T3;15.445
Ambos sexos;Total;Total;2005T2;15.389,4
Ambos sexos;Total;Total;2005T1;15.494
Ambos sexos;Total;Total;2004T4;15.516,6
Ambos sexos;Total;Total;2004T3;15.498,7
Ambos sexos;Total;Total;2004T2;15.571,9
Ambos sexos;Total;Total;2004T1;15.624,9
Ambos sexos;Total;Total;2003T4;15.565,8
Ambos sexos;Total;Total;2003T3;15.537,2
Ambos sexos;Total;Total;2003T2;15.649,4
Ambos sexos;Total;Total;2003T1;15.712,8
Ambos sexos;Total;Total;2002T4;15.758,1
Ambos sexos;Total;Total;2002T3;15.689,5
Ambos sexos;Total;Total;2002T2;15.769,2
Ambos sexos;Total;Total;2002T1;15.835,5
Ambos sexos;Total;Estudiante;2026T1;3.603
